Time;Order;SKU;MU;TU;Module;Step;Event
361,10;1505;505;21;101;2;Shaper;End Process
361,10;1506;506;32;12;3;Melter;Start Process
362,10;1504;504;30;0;2;Melter;Queue Up
362,10;1504;504;24;52;3;Preshaper;End Process
362,10;1505;505;26;5;3;Preshaper;Start Process
362,10;1504;504;30;13;2;Melter;Start Process
363,00;0;0;0;54;1;Preshaper;Queue Down
363,00;1501;501;27;103;1;Shaper;Queue Up
363,00;1501;501;27;103;1;Shaper;Start Process
363,10;1506;506;25;57;4;Preshaper;End Process
364,00;1502;502;34;0;1;Melter;Queue Up
364,00;1502;502;34;7;1;Melter;Start Process
365,00;1501;501;27;103;1;Shaper;End Process
366,00;1503;503;29;8;2;Preshaper;Queue Up
366,00;1502;502;23;56;2;Conditioner;Queue Up
366,00;0;0;0;113;2;Conditioner;Queue Down
366,00;1502;502;23;56;2;Conditioner;Start Process
366,00;0;0;0;113;2;Conditioner;Queue Down
367,00;0;0;0;56;2;Conditioner;Release TU
367,10;1506;506;32;12;3;Melter;End Process
367,10;1504;504;24;52;3;Conditioner;Queue Up
367,10;1504;504;24;52;3;Conditioner;Start Process
367,10;0;0;0;110;3;Conditioner;Queue Down
368,00;1502;502;34;7;1;Melter;End Process
368,10;1504;504;30;13;2;Melter;End Process
368,10;1506;506;25;57;4;Conditioner;Queue Up
368,10;0;0;0;52;3;Conditioner;Release TU
368,10;1506;506;25;57;4;Conditioner;Start Process
368,10;0;0;0;108;4;Conditioner;Queue Down
369,10;0;0;0;57;4;Conditioner;Release TU
370,00;1501;501;31;4;1;Preshaper;Queue Up
370,00;1502;502;23;106;2;Conditioner;End Process
370,00;1501;501;31;4;1;Preshaper;Start Process
372,10;1504;504;24;102;3;Conditioner;End Process
373,00;1502;502;23;106;1;Shaper;Queue Up
373,00;1502;502;23;106;1;Shaper;Start Process
374,00;0;0;0;55;2;Preshaper;Queue Down
374,10;1506;506;25;105;4;Conditioner;End Process
375,00;0;0;0;15;2;Preshaper;Release TU
375,00;1502;502;23;106;1;Shaper;End Process
375,10;1504;504;24;102;2;Shaper;Queue Up
375,10;1504;504;24;102;2;Shaper;Start Process
377,00;1502;502;28;55;2;Preshaper;End Process
377,00;1503;503;29;8;2;Preshaper;Start Process
377,10;0;0;0;51;3;Preshaper;Queue Down
377,10;1506;506;32;12;4;Preshaper;Queue Up
377,10;1506;506;25;105;2;Shaper;Queue Up
377,10;1506;506;32;12;4;Preshaper;Start Process
378,00;1502;502;34;7;2;Preshaper;Queue Up
378,00;0;0;0;64;2;Preshaper;Queue Down
378,10;0;0;0;5;3;Preshaper;Release TU
378,10;1504;504;30;13;3;Preshaper;Queue Up
379,10;1504;504;24;102;2;Shaper;End Process
379,10;1506;506;25;105;2;Shaper;Start Process
380,00;1503;503;35;0;3;Melter;Queue Up
380,00;1503;503;35;11;3;Melter;Start Process
